Sitecore

,Field Template,Field Name,Field Type,Field Guid
Article
,_HasPageContent,Body,Rich Text,d74f396d-5c5e-4916-bd0a-bfd58b6b1967
,_HasPageContent,Image,Image,9492e0bb-9df9-46e7-8188-ec795c4ade44
,_HasPageContent,Summary,Rich Text,ac3fd4db-8266-476d-9635-67814d91e901
,_HasPageContent,Title,Single-Line Text,c30a013f-3cc8-4961-9837-1c483277084a
,_IndexedItem,IncludeInSearchResults,Checkbox,8d5c486e-a0e3-4dbe-9a4a-cdff93594bda
,_Navigable,NavigationTitle,Single-Line Text,1b483e91-d8c4-4d19-ba03-462074b55936
,_Navigable,ShowChildren,Checkbox,68016087-aa00-45d6-922a-678475c50d4a
,_Navigable,ShowInNavigation,Checkbox,5585a30d-b115-4753-93ce-422c3455deb2
,_OpenGraph,OpenGraphDescription,Multi-Line Text,a12d5346-87ee-484d-83c5-f1e8e1b99666
,_OpenGraph,OpenGraphImage,Image,11f41661-e5fe-44e7-b8da-7cff2d39b4b2
,_OpenGraph,OpenGraphTitle,Single-Line Text,0ee2f208-1fee-42fc-8051-6696d49a92bf
,_PageAssets,CssCode,Multi-Line Text,06a96efc-f2e5-45c3-a7dc-4dddfa366cc0
,_PageAssets,InheritAssets,Checkbox,f19e8a50-9950-4861-9e66-9598a1898e71
,_PageAssets,JavascriptCodeBottom,Multi-Line Text,b3ba9ea9-d0a1-49df-9f4b-28fa5d353dc8
,_PageAssets,JavascriptCodeTop,Multi-Line Text,d79d9ddd-2774-42f4-94c3-50c892f6e13d
,_PageMetadata,BrowserTitle,Single-Line Text,ca0479ce-0bfe-4522-83de-ba688b380a78
,_PageMetadata,CanIndex,Checkbox,683d7237-206a-488f-9dee-4a4e41fb161d
,_PageMetadata,CustomMetaData,Name Value List,167aba77-5172-42af-9f9e-00299113839e
,_PageMetadata,MetaDescription,Multi-Line Text,bb7a38c0-323c-4f81-8eb9-288abf7c4638
,_PageMetadata,MetaKeywords,Treelist,4b16f930-73c9-4643-bb1b-00f06e60a073
,_PageMetadata,SeoFollowLinks,Checkbox,0dca829c-9fce-41f5-9990-c6182fefe905
,Advanced,__Enable item fallback,Checkbox,fd4e2050-186c-4375-8b99-e8a85dd7436e
,Advanced,__Enforce version presence,Checkbox,61cf7151-0cbd-4db4-9738-d753a55a6e65
,Advanced,__Source,Version Link,1b86697d-60ca-4d80-83fb-7555a2e6ce1c
,Advanced,__Source Item,Version Link,19b597d3-2edd-4ae2-aefe-4a94c7f10e31
,Advanced,__Standard values,Droptree,f7d48a55-2158-4f02-9356-756654404f73
,Advanced,__Tracking,Tracking,b0a67b2a-8b07-4e0b-8809-69f751709806
,Appearance,__Context Menu,Droptree,d3ae7222-425d-4b77-95d8-ee33ac2b6730
,Appearance,__Display name,Single-Line Text,b5e02ad9-d56f-4c41-a065-a133db87bdeb
